Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO3,latest_value,latest_value_year
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,G,BOTHSEX,PERCENT,,,,,,,,1.53492,1.89852,1.55904,1.47551,,,1.38437,,,9.2,,,ALB,9.2,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,G,FEMALE,PERCENT,,,,,,,,1.47468,2.12108,1.39056,1.403,,,1.23265,,,9.5,,,ALB,9.5,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,G,MALE,PERCENT,,,,,,,,1.59717,1.64189,1.74657,1.55519,,,,,,8.8,,,ALB,8.8,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,G,BOTHSEX,PERCENT,,,,,9.73796,,,,,,,13.77339,,,,,,,,AGO,13.77339,2011
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,G,FEMALE,PERCENT,,,,,8.83035,,,,,,,13.11359,,,,,,,,AGO,13.11359,2011
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,G,MALE,PERCENT,,,,,10.61021,,,,,,,14.50611,,,,,,,,AGO,14.50611,2011
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",32,Argentina,G,BOTHSEX,PERCENT,,,,,5.86885,5.62014,5.89582,,5.37199,5.60676,5.89855,6.08402,5.91209,6.1433,6.41873,,,6.48746,,ARG,6.48746,2017
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",32,Argentina,G,FEMALE,PERCENT,,,,,6.35353,6.073,6.31968,,5.80748,5.86271,6.40291,6.87674,6.51022,6.77287,7.5221,,,7.44567,,ARG,7.44567,2017
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",32,Argentina,G,MALE,PERCENT,,,,,5.32517,5.11183,5.42198,,4.88409,5.32033,5.34059,5.22906,5.25681,5.44606,5.19057,,,5.4297,,ARG,5.4297,2017
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",36,Australia,G,BOTHSEX,PERCENT,,,,,,,,,,,,,54.88867,,,,,,,AUS,54.88867,2012
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",36,Australia,G,FEMALE,PERCENT,,,,,,,,,,,,,53.68333,,,,,,,AUS,53.68333,2012
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",36,Australia,G,MALE,PERCENT,,,,,,,,,,,,,56.10509,,,,,,,AUS,56.10509,2012
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",40,Austria,G,BOTHSEX,PERCENT,,,,,,,,41.9,,,,48.2,,,,,59.9,,,AUT,59.9,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",40,Austria,G,FEMALE,PERCENT,,,,,,,,39.9,,,,47.6,,,,,58.8,,,AUT,58.8,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",40,Austria,G,MALE,PERCENT,,,,,,,,44,,,,48.7,,,,,61.1,,,AUT,61.1,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",56,Belgium,G,BOTHSEX,PERCENT,,,,,,,,40.5,,,,37.7,,,,,45.2,,,BEL,45.2,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",56,Belgium,G,FEMALE,PERCENT,,,,,,,,39.8,,,,36.9,,,,,46.2,,,BEL,46.2,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",56,Belgium,G,MALE,PERCENT,,,,,,,,41.2,,,,38.6,,,,,44.2,,,BEL,44.2,2016
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",84,Belize,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,1.98046,,,,,,BLZ,1.98046,2013
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",84,Belize,G,FEMALE,PERCENT,,,,,,,,,,,,,,2.72596,,,,,,BLZ,2.72596,2013
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",68,Bolivia (Plurinational State of),G,BOTHSEX,PERCENT,,,,,,,,9.09926,6.13429,7.36189,,6.65588,7.04353,6.94037,7.73454,5.59703,6.30194,5.38196,,BOL,5.38196,2017
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",68,Bolivia (Plurinational State of),G,FEMALE,PERCENT,,,,,,,,10.08556,6.02644,6.62078,,6.41442,6.82292,6.41448,7.83339,5.31183,5.96742,5.38096,,BOL,5.38096,2017
